#ID	RA(ICRS)	DEC(ICRS)	spec_z	model_z	photz_50	photz_16	photz_84
1a	104.6533786	-55.9607751	-	6.7807	6.64951	6.61898	6.68017
1b	104.6512141	-55.96120653	-	6.7807	6.59616	5.72372	6.64951
2a	104.6541521	-55.96062412	-	9.8896	6.74747	6.68017	6.78067
2b	104.6503506	-55.96133902	-	9.8896	6.69555	5.72372	6.72639
3a	104.6532072	-55.96061558	-	4.3678	5.17582	5.09606	5.22543
3b	104.6513076	-55.96098983	-	4.3678	5.15732	5.0778	5.24413
4a	104.6542259	-55.96037825	-	6.0699	4.74396	3.85322	4.85703
4b	104.6504203	-55.96109317	-	6.0699	4.74396	4.50492	4.83948
5.1a	104.6658755	-55.9559879	-	5.2504	5.16348	5.05959	5.25038
5.1b	104.6613347	-55.95945397	-	5.2504	5.16348	5.09606	5.24413
5.1c	104.6449448	-55.96330045	-	5.2504	5.16348	5.0778	5.24413
5.2a	104.665845	-55.95585002	-	5.2504	5.16348	5.0778	5.25038
5.2b	104.661287	-55.9593592	-	5.2504	5.15732	5.0778	5.22543
5.2c	104.6448012	-55.96323925	-	5.2504	6.64951	6.61898	6.68017
6.1a	104.6642746	-55.9537815	-	2.2047	6.59616	5.72372	6.64951
6.1b	104.6562144	-55.95635551	-	2.2047	6.74747	6.68017	6.78067
6.1c	104.6463974	-55.96053142	-	2.2047	6.69555	5.72372	6.72639
6.2a	104.6643457	-55.95403431	-	2.2047	5.17582	5.09606	5.22543
6.2c	104.6464501	-55.96072152	-	2.2047	5.15732	5.0778	5.24413
7.1a	104.6652845	-55.95249771	-	6.0082	4.74396	3.85322	4.85703
7.1b	104.6548528	-55.95621598	-	6.0082	4.74396	4.50492	4.83948
7.1c	104.6454591	-55.96026934	-	6.0082	5.16348	5.05959	5.25038
7.2a	104.6651608	-55.95240842	-	6.0082	5.16348	5.09606	5.24413
7.2b	104.6546858	-55.95611707	-	6.0082	5.16348	5.0778	5.24413
7.2c	104.6452652	-55.96018065	-	6.0082	5.16348	5.0778	5.25038
7.3a	104.6651364	-55.95233123	-	6.0082	5.15732	5.0778	5.22543
7.3b	104.6545324	-55.95609016	-	6.0082	3.78575	2.69006	11.99601
7.3c	104.645263	-55.96007661	-	6.0082	3.7145	2.69006	6.75736
8a	104.6600096	-55.9526322	-	2.75	2.55602	1.67151	4.49942
8b	104.6564579	-55.95367096	-	2.75	2.51016	2.39615	2.68637
8c	104.6410548	-55.95991609	-	2.75	2.58817	1.64228	7.53899
9.1a	104.6602322	-55.95040882	-	8.8457	4.25	3.50705	11.99601
9.1b	104.6541289	-55.95259696	-	8.8457	4.17916	3.50705	4.49942
9.1c	104.6382361	-55.95892751	-	8.8457	4.25	1.02515	11.99601
9.2a	104.6604375	-55.9507373	-	8.8457	4.15	3.78096	6.77289
9.2b	104.6544665	-55.95281335	-	8.8457	4.25	3.50705	6.70325
9.2c	104.6384306	-55.95917308	-	8.8457	4.25	3.76664	11.99601
10a	104.6596048	-55.95005464	-	1.284	1.3225	1.02515	1.53614
10b	104.6502539	-55.95332427	-	1.284	1.35995	1.02515	1.53614
10c	104.6455363	-55.95509448	-	1.284	1.41728	1.02515	2.01814
11.1a	104.6592382	-55.95033328	2.79	-	2.55788	2.02116	3.50254
11.1b	104.6537406	-55.95222627	2.79	-	2.55788	2.02116	3.50254
11.1c	104.639543	-55.95798509	2.79	-	2.55788	2.02116	3.50254
11.2a	104.6587876	-55.95047714	2.79	-	4.25	3.50705	4.49942
11.2b	104.6543471	-55.95197056	2.79	-	4.25	3.50705	4.49942
11.2c	104.6392182	-55.95809164	2.79	-	4.25	3.50705	4.49942
11.3a	104.6584441	-55.95060311	2.79	-	2.63669	2.02116	2.68637
11.3b	104.6550717	-55.95179822	2.79	-	2.63669	2.02116	3.50254
11.3c	104.6390055	-55.95818005	2.79	-	2.63669	2.02116	3.50254
11.4a	104.6578204	-55.95084212	2.79	-	2.63947	1.47352	3.50254
11.4b	104.6565656	-55.951431	2.79	-	2.73947	2.02116	5.717
11.4c	104.6387166	-55.95827152	2.79	-	2.63947	1.47352	5.717
12.1a	104.6649894	-55.95122268	-	4.5133	1.67418	1.63437	2.01814
12.1b	104.6518875	-55.95621167	-	4.5133	1.67151	1.56675	2.01814
12.1c	104.6469697	-55.95835463	-	4.5133	1.67151	1.55907	2.01814
12.2a	104.665335	-55.95126848	-	4.5133	3.18975	2.69006	3.43551
12.2b	104.651533	-55.95659935	-	4.5133	3.21919	2.69006	3.43995
12.2c	104.6477508	-55.95824087	-	4.5133	3.25	2.69006	3.43995
12.3a	104.6649448	-55.95129467	-	4.5133	1.75	1.71188	2.01814
12.3b	104.6521407	-55.95611751	-	4.5133	1.75	1.71188	2.01814
12.3c	104.6467545	-55.95848011	-	4.5133	1.75	1.71188	2.01814
13a	104.6574606	-55.94826106	3.26062	-	3.74287	3.50705	6.70325
13b	104.6510711	-55.95043613	3.26062	-	3.80884	2.69006	5.72372
13c	104.6379078	-55.9563635	3.26062	-	3.70884	2.69006	7.57321
14a	104.6554379	-55.94871432	-	2.606	2.49958	2.02116	7.57321
14b	104.6519145	-55.94995887	-	2.606	2.54826	1.66617	6.72639
14c	104.6378612	-55.95625193	-	2.606	2.54826	1.71188	7.53899
15a	104.6590044	-55.94646695	-	4.5524	3.02147	2.69006	11.99601
15b	104.6472949	-55.95040325	-	4.5524	3.12147	2.69006	4.49942
15c	104.6402927	-55.95397656	-	4.5524	3.12147	2.69006	11.99601
16a	104.6566558	-55.94727433	-	2.1343	1.85584	1.68221	2.38598
16b	104.6486546	-55.94991569	-	2.1343	1.85584	1.03733	2.68637
16c	104.6394737	-55.95437035	-	2.1343	1.75584	0.75355	2.33557
17a	104.6527184	-55.94571358	-	1.4296	1.3576	1.3318	1.52601
17b	104.644079	-55.94900067	-	1.4296	1.38606	1.07849	1.47105
17c	104.6424451	-55.95047556	-	1.4296	1.45	1.13537	2.37246
18.1a	104.6492237	-55.94734821	-	2.9683	2.32027	2.02116	3.50254
18.1b	104.6486255	-55.9474717	-	2.9683	2.25646	1.67418	3.46667
18.2a	104.6494884	-55.94733713	-	2.9683	2.46129	2.02116	4.85703
18.2b	104.6484261	-55.94755612	-	2.9683	2.45092	2.02116	7.53899
19.1a	104.654227	-55.94434927	3.2541	-	3.55853	2.69006	5.72372
19.1b	104.642244	-55.9487535	3.2541	-	3.50705	2.69006	7.54753
19.1c	104.6395192	-55.95102593	3.2541	-	3.50705	2.69006	7.53899
19.2b	104.6415656	-55.94933839	3.2541	-	3.43551	2.69006	3.74761
19.2c	104.6406468	-55.95006941	3.2541	-	3.43551	2.69006	3.74761
20.1a	104.5693849	-55.94577673	-	1.6943	1.5817	1.07849	2.28262
20.1b	104.5704173	-55.94416478	-	1.6943	1.6817	1.13537	2.43371
20.1c	104.570069	-55.93865226	-	1.6943	1.5817	1.55395	1.65818
20.2a	104.569045	-55.94595957	-	1.6943	1.637	1.55907	1.6635
20.2b	104.5702488	-55.94399054	-	1.6943	1.60203	1.55907	1.65552
20.2c	104.569784	-55.93870561	-	1.6943	1.65287	1.02717	2.37246
21a	104.5654851	-55.94651166	-	3.2837	1.3225	1.0292	1.54376
21b	104.5644365	-55.94408556	-	3.2837	1.26674	1.07849	1.47105
21c	104.5676347	-55.93739276	-	3.2837	1.26674	1.02515	1.53614
